Estimate Status,Year,Fishing Year,Fishing Mode,Cumulative Through,PSE,Does Angler Trips Meet MRIP Standard,Is Angler Trips Significantly Different From 0,Angler Trips,Angler Trips Lower 95% Confidence Limit,Angler Trips Upper 95% Confidence Limit
FINAL,1987,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.6,YES,YES,"4,400,679","3,917,660","4,883,697"
FINAL,1987,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,10.8,YES,YES,"723,476","570,331","876,622"
FINAL,1987,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,7.3,YES,YES,"3,690,228","3,162,230","4,218,226"
FINAL,1988,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.7,YES,YES,"4,562,161","4,052,477","5,071,846"
FINAL,1988,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,15.8,YES,YES,"628,138","433,616","822,659"
FINAL,1988,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.1,YES,YES,"3,657,821","3,220,492","4,095,150"
FINAL,1989,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.4,YES,YES,"4,499,810","4,023,550","4,976,070"
FINAL,1989,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,12.8,YES,YES,"450,057","337,147","562,967"
FINAL,1989,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5,YES,YES,"3,571,139","3,221,168","3,921,111"
FINAL,1990,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.5,YES,YES,"4,619,598","4,121,605","5,117,591"
FINAL,1990,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,11.3,YES,YES,"486,037","378,389","593,684"
FINAL,1990,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,4.6,YES,YES,"3,674,898","3,343,569","4,006,227"
FINAL,1991,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.5,YES,YES,"4,825,392","4,305,215","5,345,569"
FINAL,1991,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,14.5,YES,YES,"590,527","422,699","758,354"
FINAL,1991,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,4.4,YES,YES,"3,638,573","3,324,782","3,952,363"
FINAL,1992,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.4,YES,YES,"4,839,575","4,327,355","5,351,796"
FINAL,1992,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,12.8,YES,YES,"382,870","286,816","478,925"
FINAL,1992,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,4.3,YES,YES,"3,590,264","3,287,676","3,892,851"
FINAL,1993,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.5,YES,YES,"5,248,408","4,682,630","5,814,187"
FINAL,1993,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,10,YES,YES,"755,540","607,454","903,626"
FINAL,1993,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,4.5,YES,YES,"3,773,213","3,440,416","4,106,011"
FINAL,1994,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.5,YES,YES,"5,279,040","4,709,960","5,848,121"
FINAL,1994,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,11.5,YES,YES,"573,025","443,865","702,185"
FINAL,1994,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,4.7,YES,YES,"3,683,340","3,344,030","4,022,649"
FINAL,1995,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.6,YES,YES,"4,910,075","4,371,145","5,449,005"
FINAL,1995,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,9.3,YES,YES,"493,434","403,491","583,377"
FINAL,1995,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.2,YES,YES,"3,544,616","3,113,874","3,975,358"
FINAL,1996,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.8,YES,YES,"5,160,088","4,573,489","5,746,687"
FINAL,1996,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,10.9,YES,YES,"313,430","246,469","380,392"
FINAL,1996,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"3,655,919","3,247,480","4,064,358"
FINAL,1997,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.5,YES,YES,"5,331,614","4,756,866","5,906,362"
FINAL,1997,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,13,YES,YES,"362,724","270,302","455,146"
FINAL,1997,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.6,YES,YES,"3,971,592","3,535,670","4,407,514"
FINAL,1998,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,6,YES,YES,"4,814,962","4,248,723","5,381,202"
FINAL,1998,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,11.6,YES,YES,"239,150","184,777","293,523"
FINAL,1998,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.4,YES,YES,"3,972,437","3,551,995","4,392,880"
FINAL,1999,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.3,YES,YES,"6,008,550","5,384,382","6,632,718"
FINAL,1999,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,13.1,YES,YES,"287,222","213,475","360,969"
FINAL,1999,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.9,YES,YES,"4,267,060","3,773,617","4,760,503"
FINAL,2000,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.6,YES,YES,"6,676,059","5,943,294","7,408,823"
FINAL,2000,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,15,YES,YES,"308,455","217,769","399,141"
FINAL,2000,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.4,YES,YES,"4,489,101","3,925,988","5,052,214"
FINAL,2001,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.9,YES,YES,"6,972,285","6,166,010","7,778,560"
FINAL,2001,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,12.4,YES,YES,"337,293","255,317","419,269"
FINAL,2001,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.2,YES,YES,"4,589,922","4,122,117","5,057,727"
FINAL,2002,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,6.3,YES,YES,"7,012,618","6,146,700","7,878,536"
FINAL,2002,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,9.6,YES,YES,"334,011","271,164","396,859"
FINAL,2002,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.1,YES,YES,"4,782,022","4,210,284","5,353,761"
FINAL,2003,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,5.7,YES,YES,"7,515,751","6,676,092","8,355,411"
FINAL,2003,CALENDAR YEAR (JAN 1 - DEC 31),PARTY/CHARTER BOAT,ANNUAL,9.5,YES,YES,"405,435","329,943","480,927"
FINAL,2003,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.3,YES,YES,"5,396,894","4,836,265","5,957,523"
FINAL,2004,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,9.2,YES,YES,"7,735,635","6,340,746","9,130,525"
FINAL,2004,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,17.1,YES,YES,"196,010","130,316","261,705"
FINAL,2004,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,16,YES,YES,"192,094","131,854","252,335"
FINAL,2004,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"5,360,710","4,761,811","5,959,608"
FINAL,2005,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,8.9,YES,YES,"8,116,441","6,700,609","9,532,273"
FINAL,2005,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,13.5,YES,YES,"176,391","129,718","223,064"
FINAL,2005,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,19.9,YES,YES,"206,639","126,042","287,237"
FINAL,2005,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,8.2,YES,YES,"5,651,037","4,742,803","6,559,272"
FINAL,2006,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.7,YES,YES,"7,986,453","6,781,137","9,191,768"
FINAL,2006,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,8.8,YES,YES,"134,913","111,643","158,183"
FINAL,2006,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,10,YES,YES,"140,487","112,951","168,022"
FINAL,2006,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6.6,YES,YES,"5,460,065","4,753,751","6,166,379"
FINAL,2007,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.7,YES,YES,"7,930,979","6,734,036","9,127,923"
FINAL,2007,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,11.1,YES,YES,"245,155","191,819","298,491"
FINAL,2007,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,11.1,YES,YES,"389,378","304,665","474,091"
FINAL,2007,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"5,635,489","5,005,892","6,265,085"
FINAL,2008,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,8.5,YES,YES,"8,026,717","6,689,466","9,363,968"
FINAL,2008,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,5.1,YES,YES,"207,190","186,480","227,901"
FINAL,2008,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,7.3,YES,YES,"167,943","143,914","191,973"
FINAL,2008,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"5,389,494","4,787,380","5,991,609"
FINAL,2009,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.2,YES,YES,"7,972,428","6,847,359","9,097,497"
FINAL,2009,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,1.9,YES,YES,"193,037","185,848","200,226"
FINAL,2009,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,9.4,YES,YES,"191,562","156,269","226,855"
FINAL,2009,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.8,YES,YES,"5,301,520","4,698,844","5,904,197"
FINAL,2010,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7,YES,YES,"8,458,525","7,298,016","9,619,035"
FINAL,2010,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,2.7,YES,YES,"155,710","147,469","163,950"
FINAL,2010,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,5.3,YES,YES,"178,186","159,676","196,696"
FINAL,2010,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.6,YES,YES,"5,374,184","4,784,314","5,964,055"
FINAL,2011,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.4,YES,YES,"8,220,666","7,028,340","9,412,991"
FINAL,2011,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,2.3,YES,YES,"166,767","159,249","174,285"
FINAL,2011,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,5.7,YES,YES,"290,630","258,161","323,100"
FINAL,2011,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,6,YES,YES,"5,527,960","4,877,872","6,178,048"
FINAL,2012,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.3,YES,YES,"8,606,683","7,375,239","9,838,127"
FINAL,2012,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,2,YES,YES,"158,365","152,157","164,573"
FINAL,2012,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,5.2,YES,YES,"215,441","193,483","237,398"
FINAL,2012,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,5.7,YES,YES,"5,652,058","5,020,610","6,283,506"
FINAL,2013,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,7.5,YES,YES,"8,668,140","7,393,923","9,942,356"
FINAL,2013,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,3.1,YES,YES,"258,384","242,685","274,083"
FINAL,2013,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,10.3,YES,YES,"321,195","256,352","386,038"
FINAL,2013,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,7.2,YES,YES,"5,961,335","5,120,071","6,802,599"
FINAL,2014,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,10.5,YES,YES,"8,511,022","6,759,454","10,262,590"
FINAL,2014,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,1,YES,YES,"204,310","200,306","208,315"
FINAL,2014,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,8.1,YES,YES,"229,466","193,036","265,896"
FINAL,2014,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,8.1,YES,YES,"6,457,050","5,431,929","7,482,171"
FINAL,2015,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,8.1,YES,YES,"8,302,107","6,984,065","9,620,150"
FINAL,2015,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,2,YES,YES,"230,514","221,477","239,550"
FINAL,2015,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,5.1,YES,YES,"338,494","304,658","372,330"
FINAL,2015,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,7.8,YES,YES,"6,400,169","5,421,711","7,378,627"
FINAL,2016,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,8.7,YES,YES,"8,580,156","7,117,067","10,043,244"
FINAL,2016,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,3,YES,YES,"153,938","144,886","162,989"
FINAL,2016,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,6,YES,YES,"116,527","102,823","130,231"
FINAL,2016,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,7.7,YES,YES,"6,914,591","5,871,041","7,958,141"
FINAL,2017,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,11.9,YES,YES,"9,002,927","6,903,085","11,102,770"
FINAL,2017,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,5.2,YES,YES,"193,954","174,186","213,722"
FINAL,2017,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,7.9,YES,YES,"65,035","54,965","75,105"
FINAL,2017,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,12.2,YES,YES,"7,372,066","5,609,258","9,134,875"
FINAL,2018,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,9.8,YES,YES,"6,286,292","5,078,821","7,493,763"
FINAL,2018,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,5.3,YES,YES,"252,735","226,481","278,989"
FINAL,2018,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,7.6,YES,YES,"51,397","43,741","59,053"
FINAL,2018,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,10.4,YES,YES,"4,651,741","3,703,530","5,599,952"
FINAL,2019,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,10.6,YES,YES,"7,193,913","5,699,306","8,688,521"
FINAL,2019,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,5.2,YES,YES,"231,436","207,848","255,024"
FINAL,2019,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,12.3,YES,YES,"33,909","25,734","42,084"
FINAL,2019,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,8.2,YES,YES,"5,952,485","4,995,801","6,909,168"
FINAL,2020,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,9.4,YES,YES,"8,965,013","7,313,299","10,616,727"
FINAL,2020,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,7,YES,YES,"241,891","208,704","275,079"
FINAL,2020,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,10.5,YES,YES,"29,106","23,116","35,096"
FINAL,2020,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,8.1,YES,YES,"5,605,026","4,715,172","6,494,880"
FINAL,2021,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,10.4,YES,YES,"6,975,833","5,553,879","8,397,787"
FINAL,2021,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,5.1,YES,YES,"193,473","174,133","212,813"
FINAL,2021,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,12,YES,YES,"205,478","157,150","253,807"
FINAL,2021,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,9.8,YES,YES,"4,632,153","3,742,409","5,521,897"
FINAL,2022,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,10.2,YES,YES,"8,847,581","7,078,773","10,616,390"
FINAL,2022,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,3.1,YES,YES,"176,024","165,329","186,719"
FINAL,2022,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,9.8,YES,YES,"96,929","78,311","115,548"
FINAL,2022,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,9.3,YES,YES,"7,354,711","6,014,094","8,695,327"
FINAL,2023,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,10.9,YES,YES,"7,300,892","5,741,130","8,860,655"
FINAL,2023,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,4.2,YES,YES,"193,846","177,889","209,804"
FINAL,2023,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,21.7,YES,YES,"18,042","10,369","25,716"
FINAL,2023,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,8.7,YES,YES,"5,481,771","4,547,019","6,416,522"
FINAL,2024,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,ANNUAL,11,YES,YES,"7,170,944","5,624,889","8,717,000"
FINAL,2024,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,ANNUAL,3.4,YES,YES,"173,400","161,844","184,955"
FINAL,2024,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,ANNUAL,12.9,YES,YES,"73,270","54,745","91,796"
FINAL,2024,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,ANNUAL,11,YES,YES,"5,991,372","4,699,633","7,283,112"
PRELIMINARY,2025,CALENDAR YEAR (JAN 1 - DEC 31),SHORE,WAVE 3,17.7,YES,YES,"2,143,412","1,399,819","2,887,004"
PRELIMINARY,2025,CALENDAR YEAR (JAN 1 - DEC 31),PARTY BOAT,WAVE 3,7.2,YES,YES,"43,934","37,734","50,134"
PRELIMINARY,2025,CALENDAR YEAR (JAN 1 - DEC 31),CHARTER BOAT,WAVE 3,22.5,YES,YES,"20,832","11,645","30,019"
PRELIMINARY,2025,CALENDAR YEAR (JAN 1 - DEC 31),PRIVATE/RENTAL BOAT,WAVE 3,14.2,YES,YES,"1,480,230","1,068,252","1,892,207"
