"","Estimate.Status","Year","Fishing.Year","Fishing.Mode","Fishing.Area","Cumulative.Through","PSE","Does.Angler.Trips.Meet.MRIP.Standard","Is.Angler.Trips.Significantly.Different.From.0","Angler.Trips","Angler.Trips.Lower.95..Confidence.Limit","Angler.Trips.Upper.95..Confidence.Limit"
"59","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",28.4,"YES","YES","196,018","86,907","305,130"
"60","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",24.4,"YES","YES","169,754","88,571","250,938"
"61","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",27,"YES","YES","262,365","123,521","401,208"
"62","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",13.6,"YES","YES","676,392","496,093","856,691"
"63","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",17.2,"YES","YES","586,267","388,625","783,909"
"64","FINAL",1988,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",7.3,"YES","YES","2,395,163","2,052,463","2,737,863"
"65","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",18.8,"YES","YES","412,668","260,608","564,729"
"66","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.7,"YES","YES","4,087,142","3,630,527","4,543,758"
"67","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",21,"YES","YES","143,147","84,228","202,066"
"68","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",21.7,"YES","YES","97,109","55,807","138,412"
"69","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",21.3,"YES","YES","209,801","122,213","297,389"
"70","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",14.7,"YES","YES","438,629","312,251","565,007"
"71","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",13.9,"YES","YES","511,238","371,956","650,520"
"72","FINAL",1989,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.7,"YES","YES","2,621,273","2,328,424","2,914,121"
"73","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",15.6,"YES","YES","639,441","443,925","834,956"
"74","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.9,"YES","YES","3,980,157","3,519,892","4,440,423"
"75","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",22.4,"YES","YES","113,587","63,718","163,457"
"76","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",23.9,"YES","YES","93,565","49,736","137,395"
"77","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",15.5,"YES","YES","278,884","194,159","363,609"
"78","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",9,"YES","YES","869,996","716,528","1,023,463"
"79","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",13.5,"YES","YES","451,368","331,936","570,800"
"80","FINAL",1990,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.9,"YES","YES","2,353,534","2,081,372","2,625,697"
"81","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",17.7,"YES","YES","317,502","207,354","427,649"
"82","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.7,"YES","YES","4,507,890","4,004,269","5,011,512"
"83","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",28.5,"YES","YES","164,711","72,703","256,718"
"84","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",26.4,"YES","YES","80,298","38,749","121,848"
"85","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",19.7,"YES","YES","345,518","212,107","478,929"
"86","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",10.2,"YES","YES","429,529","343,657","515,400"
"87","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",13.9,"YES","YES","293,615","213,623","373,607"
"88","FINAL",1991,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.1,"YES","YES","2,915,429","2,624,003","3,206,855"
"89","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",21.1,"YES","YES","238,894","140,097","337,690"
"90","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.6,"YES","YES","4,600,682","4,095,711","5,105,653"
"91","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",20.6,"YES","YES","145,154","86,547","203,762"
"92","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",27.2,"YES","YES","51,015","23,818","78,212"
"93","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",19.4,"YES","YES","186,701","115,710","257,692"
"94","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",10.7,"YES","YES","464,965","367,453","562,478"
"95","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",14,"YES","YES","246,413","178,797","314,029"
"96","FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5,"YES","YES","2,878,886","2,596,755","3,161,017"
"97","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",16.8,"YES","YES","321,411","215,577","427,246"
"98","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.8,"YES","YES","4,926,997","4,366,896","5,487,098"
"99","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",21.8,"YES","YES","151,456","86,742","216,170"
"100","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",18.5,"YES","YES","98,929","63,058","134,801"
"101","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",13,"YES","YES","505,155","376,442","633,869"
"102","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",11.2,"YES","YES","440,086","343,478","536,693"
"103","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",14.5,"YES","YES","396,074","283,510","508,638"
"104","FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.2,"YES","YES","2,937,054","2,637,709","3,236,398"
"105","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",23.5,"YES","YES","227,512","122,720","332,304"
"106","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.7,"YES","YES","5,051,528","4,487,171","5,615,885"
"107","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",20.4,"YES","YES","172,283","103,397","241,169"
"108","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",29.5,"YES","YES","75,929","32,027","119,831"
"109","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",15.8,"YES","YES","324,814","224,225","425,402"
"110","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",13.8,"YES","YES","299,917","218,796","381,039"
"111","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",16.3,"YES","YES","399,109","271,602","526,617"
"112","FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.2,"YES","YES","2,984,313","2,680,152","3,288,474"
"113","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",30.7,"CAUTION","YES","175,378","69,850","280,907"
"114","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.7,"YES","YES","4,734,697","4,205,737","5,263,658"
"115","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",18.8,"YES","YES","116,317","73,457","159,178"
"116","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",15.6,"YES","YES","114,207","79,287","149,127"
"117","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",13.8,"YES","YES","262,910","191,798","334,022"
"118","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",17.8,"YES","YES","387,340","252,205","522,475"
"119","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",21,"YES","YES","538,210","316,683","759,737"
"120","FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.8,"YES","YES","2,619,066","2,269,997","2,968,136"
"121","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",32.4,"CAUTION","YES","284,204","103,723","464,685"
"122","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.8,"YES","YES","4,875,884","4,321,593","5,430,174"
"123","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",15.6,"YES","YES","125,063","86,824","163,302"
"124","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",36.4,"CAUTION","YES","51,234","14,682","87,786"
"125","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",15.2,"YES","YES","137,134","96,279","177,989"
"126","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",17.1,"YES","YES","511,486","340,056","682,915"
"127","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",24.9,"YES","YES","326,379","167,093","485,666"
"128","FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6,"YES","YES","2,818,054","2,486,651","3,149,457"
"129","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",22.4,"YES","YES","456,006","255,801","656,211"
"130","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.6,"YES","YES","4,875,608","4,340,461","5,410,755"
"131","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",23.3,"YES","YES","89,461","48,606","130,316"
"132","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",20.9,"YES","YES","100,630","59,408","141,852"
"133","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",21.2,"YES","YES","172,633","100,901","244,366"
"134","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",15.8,"YES","YES","606,183","418,460","793,906"
"135","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",22.7,"YES","YES","379,207","210,490","547,924"
"136","FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.1,"YES","YES","2,986,202","2,629,172","3,343,232"
"137","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",34.6,"CAUTION","YES","309,407","99,580","519,234"
"138","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.9,"YES","YES","4,505,555","3,984,533","5,026,578"
"139","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",22.5,"YES","YES","70,558","39,442","101,674"
"140","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",32,"CAUTION","YES","26,886","10,023","43,749"
"141","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",15,"YES","YES","141,706","100,044","183,367"
"142","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",20.5,"YES","YES","374,408","223,971","524,845"
"143","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",21,"YES","YES","399,993","235,356","564,630"
"144","FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.6,"YES","YES","3,198,037","2,847,020","3,549,054"
"145","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",28.5,"YES","YES","281,462","124,237","438,686"
"146","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.4,"YES","YES","5,727,088","5,120,933","6,333,243"
